home_team,away_team,home_points,away_points
Oklahoma Baptist,Arkansas Tech,23.0,21.0
Pittsburg State,Washburn,34.0,7.0
Missouri Southern State,Northwest Missouri State,24.0,31.0
Central Oklahoma,Nebraska-Kearney,24.0,21.0
Missouri Western,Central Missouri State,38.0,45.0
Eastern New Mexico,New Mexico Highlands,28.0,26.0
Dakota State,Wisconsin-La Crosse,6.0,31.0
UAB,North Carolina A&T,35.0,6.0
Beloit College,Rockford,34.0,27.0
Lindenwood,Wisconsin-Stevens Point,77.0,9.0
Abilene Christian,Northern Colorado,31.0,11.0
Arizona State,Southern Utah,24.0,21.0
Nichols,UMass Dartmouth,6.0,57.0
West Florida,Kentucky Wesleyan,35.0,3.0
Eastern Michigan,Howard,33.0,23.0
Miami,Miami (OH),38.0,3.0
Michigan State,Central Michigan,31.0,7.0
Catholic University,McDaniel College,34.0,7.0
Alfred,Hobart,9.0,31.0
Curry,Salve Regina,0.0,48.0
Worcester Polytechnic,Worcester State College,44.0,13.0
Muhlenberg,Moravian,53.0,12.0
Lebanon Valley,Franklin & Marshall,12.0,16.0
Ursinus,Alvernia University,38.0,6.0
Georgia Tech,Louisville,34.0,39.0
Hardin-Simmons,Albright,47.0,3.0
Kansas,Missouri State,48.0,17.0
South Dakota Mines,Valley City State,31.0,14.0
Hawai'i,Stanford,24.0,37.0
Montana State,Utah Tech,63.0,20.0
Lehigh,Villanova,10.0,38.0
Holy Cross,Merrimack,42.0,20.0
Findlay,Truman State,10.0,20.0
North Carolina Central,Winston-Salem,47.0,21.0
Lake Erie College,Franklin Pierce,10.0,26.0
Capital,Denison,35.0,45.0
Nicholls,Sacramento State,24.0,38.0
Western State,West Texas A&M,28.0,6.0
Westminster,Rhodes,0.0,47.0
VMI,Davidson,12.0,7.0
St. Thomas (MN),Black Hills State,36.0,26.0
Lyon College,Grinnell,18.0,12.0
Marietta,St. John Fisher,31.0,7.0
University of Texas of the Permian Basin,Texas College,96.0,0.0
Cal Poly,San Diego,27.0,10.0
Notre Dame College,Ohio Dominican,23.0,21.0
Concord,Emory & Henry,10.0,56.0
Texas Southern,Prairie View,34.0,37.0
Guilford,Greensboro,36.0,21.0
Central Connecticut,American International,44.0,0.0
Duquesne,Edinboro,49.0,7.0
Mississippi Valley State,Central State,21.0,24.0
Davenport,Thomas More,31.0,17.0
MIT,Bridgewater State,41.0,27.0
Keystone,Gallaudet,27.0,6.0
Assumption,Kutztown,31.0,20.0
Rochester,Utica,17.0,20.0
Bentley,West Chester,19.0,20.0
Shippensburg,Newberry,10.0,14.0
Shepherd,Southern Connecticut State,27.0,26.0
Hilbert College,Union,0.0,65.0
College of New Jersey,Eastern University,41.0,21.0
Wilkes,King's College (PA),23.0,27.0
Endicott College,St Lawrence,31.0,0.0
Alma College,Ohio Northern,52.0,7.0
Otterbein,Ohio Wesleyan,21.0,35.0
Johns Hopkins,Ithaca,27.0,17.0
Tiffin,McKendree,79.0,14.0
Dean College,Fitchburg State,33.0,17.0
SUNY Cortland,Delaware Valley,42.0,13.0
Kean,Morrisville State,14.0,24.0
Kalamazoo,Oberlin,42.0,10.0
Western Connecticut State,Merchant Marine,35.0,52.0
NC Wesleyan,Randolph-Macon,9.0,51.0
Michigan,East Carolina,30.0,3.0
Tennessee,Virginia,49.0,13.0
TCU,Colorado,42.0,45.0
Oklahoma,Arkansas State,73.0,0.0
Iowa,Utah State,24.0,14.0
Kentucky,Ball State,44.0,14.0
Liberty,Bowling Green,34.0,24.0
Purdue,Fresno State,35.0,39.0
SMU,Louisiana Tech,38.0,14.0
Boston College,Northern Illinois,24.0,27.0
Georgetown,Marist,49.0,7.0
Western New England,Springfield,14.0,28.0
Misericordia,Alfred State College,14.0,24.0
St. Johns (MN),Trinity (TX),34.0,31.0
Muskingum,Ferrum,31.0,20.0
Shenandoah,Methodist,44.0,29.0
Brevard College,Warner,23.0,29.0
Bridgewater (VA),Susquehanna,19.0,51.0
Waynesburg,Allegheny,36.0,39.0
Husson,Norwich,28.0,14.0
Castleton State College,Plymouth State,25.0,21.0
Delaware State,Bowie State,11.0,22.0
Washington & Lee,Salisbury,7.0,28.0
Grove City College,Westminster PA,17.0,7.0
Sewanee Univ. of the South,Maryville TN,8.0,28.0
Apprentice School,Averett,14.0,34.0
Hampden-Sydney,Wabash College,28.0,29.0
Dickinson,Rensselaer,27.0,38.0
University of New England,Coast Guard,44.0,28.0
Gettysburg,Juniata,40.0,20.0
Baldwin-Wallace,Mount St. Joseph,33.0,46.0
Widener,Lycoming,42.0,21.0
Elizabeth City State,Catawba,23.0,31.0
Stonehill,New Hampshire,17.0,51.0
Wilmington (OH),Wooster,63.0,43.0
St. Vincent,Washington & Jefferson,0.0,51.0
William Paterson,FDU-Florham,29.0,33.0
Illinois State,Dayton,41.0,0.0
Air Force,Robert Morris,42.0,7.0
WV Wesleyan,Johnson C Smith,6.0,49.0
Defiance,Mount Union,6.0,45.0
Franklin,Olivet College,32.0,35.0
Centre,Hanover,7.0,10.0
Austin College,Nebraska Wesleyan University,7.0,19.0
Norfolk State,Virginia State,24.0,33.0
Augsburg,Northwestern (MN),52.0,10.0
Chicago,Claremont,15.0,24.0
St. Ambrose,UW-Stout,7.0,35.0
Cornell College (IA),Coe,6.0,56.0
Gustavus Adolphus,Buena Vista,51.0,7.0
St. Olaf College,Central,24.0,34.0
Concordia (IL),Greenville,14.0,41.0
Concordia (WI),Martin Luther College,55.0,14.0
Montana,Butler,35.0,20.0
Wisconsin-Eau Claire,Concordia (MN),31.0,28.0
Hamline,Crown College,45.0,13.0
Elmhurst,Adrian,14.0,3.0
Aurora,Hope,38.0,17.0
Roosevelt,North Central,7.0,41.0
UW-River Falls,Mary Hardin-Baylor,45.0,22.0
St. Norbert,Ripon,23.0,7.0
Augustana (SD),University of Mary,38.0,7.0
Dubuque,Wittenberg,27.0,28.0
William Jewell College,Fort Lewis,42.0,6.0
Hendrix College,Washington (MO),27.0,44.0
Carthage,Albion,20.0,41.0
John Carroll,UW-Whitewater,23.0,27.0
Ohio,Long Island University,27.0,10.0
Iowa State,Northern Iowa,30.0,9.0
Temple,Akron,24.0,21.0
Ole Miss,Mercer,73.0,7.0
Jacksonville State,East Tennessee State,49.0,3.0
UW-Oshkosh,Texas Lutheran,48.0,31.0
Hampton,Grambling,35.0,31.0
Lane,Miles,24.0,37.0
Colorado Mesa,Texas A&M-Kingsville,10.0,30.0
Oregon,Portland State,81.0,7.0
Appalachian State,Gardner-Webb,45.0,24.0
Cincinnati,Eastern Kentucky,66.0,13.0
Texas,Rice,37.0,10.0
Wisconsin,Buffalo,38.0,17.0
Auburn,UMass,59.0,14.0
Maryland,Towson,38.0,6.0
Western Kentucky,South Florida,41.0,24.0
Pittsburgh,Wofford,45.0,7.0
Indiana,Ohio State,3.0,23.0
Washington,Boise State,56.0,19.0
Notre Dame,Tennessee State,56.0,3.0
North Dakota State,Eastern Washington,35.0,10.0
UNLV,Bryant,44.0,14.0
Arkansas,Western Carolina,56.0,13.0
Mississippi State,Southeastern Louisiana,48.0,7.0
North Texas,California,21.0,58.0
SUNY Maritime,Hartwick,34.0,11.0
North Dakota,Drake,55.0,7.0
Cal Lutheran,Southwestern University,41.0,35.0
Pacific Lutheran,Redlands,14.0,24.0
La Verne,Willamette,21.0,24.0
Puget Sound,Lewis & Clark,42.0,38.0
Syracuse,Colgate,65.0,0.0
Christopher Newport,Southern Virginia,45.0,0.0
Allen,Erskine,24.0,17.0
Stetson,St. Thomas University (Fl),34.0,33.0
Florida Atlantic,Monmouth,42.0,20.0
Manchester,North Park,0.0,27.0
Charlotte,South Carolina State,24.0,3.0
Georgia,UT Martin,48.0,7.0
Berry College,Huntingdon,67.0,34.0
Marshall,Albany,21.0,17.0
Livingstone,Bluefield,7.0,41.0
Georgia Southern,The Citadel,34.0,0.0
James Madison,Bucknell,38.0,3.0
Anderson (IN),Trine,0.0,61.0
Slippery Rock,Wayne State (MI),28.0,17.0
Lock Haven,Post University,58.0,7.0
Lenoir-Rhyne,St. Augustine's,45.0,7.0
Edward Waters,Florida Memorial University,21.0,38.0
Indianapolis,Hillsdale,39.0,20.0
Alabama State,Southern,14.0,10.0
Fordham,Wagner,46.0,16.0
Sacred Heart,Lafayette,14.0,19.0
Richmond,Morgan State,10.0,17.0
Benedict College,Shaw,52.0,0.0
USC,Nevada,66.0,14.0
Florida International,Maine,14.0,12.0
Houston,UT San Antonio,17.0,14.0
Vanderbilt,Alabama A&M,47.0,13.0
Southern Mississippi,Alcorn State,40.0,14.0
Houston Christian,Arkansas Baptist,66.0,0.0
Murray State,Presbyterian College,41.0,10.0
Texas A&M,New Mexico,52.0,10.0
Louisiana Monroe,Army,17.0,13.0
Colorado State,Washington State,24.0,50.0
Baylor,Texas State,31.0,42.0
Southern Illinois,Austin Peay,49.0,23.0
Southeastern University,Savannah State,20.0,23.0
Oklahoma State,Central Arkansas,27.0,13.0
Wisconsin Lutheran,Lake Forest,0.0,24.0
UVA-Wise,Union College,48.0,0.0
Troy,Stephen F. Austin,48.0,30.0
Illinois College,Millikin,31.0,0.0
Simpson College,Augustana (IL),27.0,49.0
Thiel College,Case Western Reserve,0.0,14.0
Valdosta State,Point University,63.0,10.0
Rose-Hulman,DePauw,21.0,33.0
Loras College,Benedictine (IL),42.0,41.0
Macalester,Minnesota-Morris,44.0,30.0
North Alabama,Chattanooga,41.0,27.0
Eureka College,Knox College,41.0,16.0
Memphis,Bethune-Cookman,56.0,14.0
Kansas State,Southeast Missouri State,45.0,0.0
Anna Maria College,Westfield State,51.0,27.0
OK Panhandle St,Southwest Baptist,7.0,65.0
Bluffton,Kenyon,51.0,35.0
Wyoming,Texas Tech,35.0,33.0
Geneva College,Carnegie Mellon,0.0,31.0
Louisiana,Northwestern State,38.0,13.0
North Carolina,South Carolina,31.0,17.0
Illinois,Toledo,30.0,28.0
Alabama,Middle Tennessee,56.0,7.0
Penn State,West Virginia,38.0,15.0
Tulane,South Alabama,37.0,17.0
McNeese,Tarleton State,34.0,52.0
Adams State,Lincoln University (CA),35.0,16.0
George Fox University,Howard Payne,3.0,17.0
Colorado State-Pueblo,Midwestern State,37.0,8.0
Virginia Tech,Old Dominion,36.0,17.0
Western New Mexico,Sul Ross State,42.0,28.0
Wartburg,Monmouth (IL),62.0,35.0
UTEP,Incarnate Word,28.0,14.0
New Mexico State,Western Illinois,58.0,21.0
Pacific (OR),Chapman,0.0,0.0
Arizona,Northern Arizona,38.0,3.0
BYU,Sam Houston State,14.0,0.0
UCLA,Coastal Carolina,27.0,13.0
San Diego State,Idaho State,36.0,28.0
Rutgers,Northwestern,24.0,7.0
Florida A&M,Jackson State,28.0,10.0
San José State,Oregon State,17.0,42.0
Morehouse,Virginia Union,13.0,45.0
Tuskegee,Fort Valley State,37.0,31.0
Florida State,LSU,45.0,24.0
Duke,Clemson,28.0,7.0
Alderson-Broaddus,Glenville State,0.0,0.0
Mars Hill,Wingate,15.0,10.0
Washburn,Missouri Southern State,23.0,30.0
East Central,Southern Arkansas,17.0,24.0
Louisville,Murray State,56.0,0.0
Northwest Missouri State,Emporia State,13.0,33.0
Fort Hays State,Pittsburg State,14.0,40.0
St Lawrence,Norwich,14.0,7.0
Franklin & Marshall,College of New Jersey,0.0,0.0
Bridgewater State,Worcester Polytechnic,21.0,24.0
Westfield State,Western New England,0.0,46.0
Davidson,Barton College,31.0,33.0
Rhode Island,Stony Brook,35.0,14.0
Mass Maritime,SUNY Maritime,7.0,14.0
Indiana,Indiana State,41.0,7.0
Kansas,Illinois,34.0,23.0
Salve Regina,Framingham State,29.0,0.0
West Liberty,Fairmont State,29.0,42.0
Juniata,Alfred,0.0,34.0
Wake Forest,Vanderbilt,36.0,20.0
California (PA),Kutztown,31.0,20.0
Gannon,Millersville,21.0,28.0
Davenport,Bowie State,24.0,19.0
Mount St. Joseph,Hiram,62.0,21.0
Limestone,West Alabama,13.0,27.0
Shorter,Erskine,28.0,7.0
Pace,Findlay,25.0,40.0
Springfield,Husson,45.0,20.0
Seton Hill College,Shippensburg,28.0,23.0
Plymouth State,University of New England,21.0,31.0
Virginia Tech,Purdue,17.0,24.0
Endicott College,Ithaca,17.0,20.0
Virginia,James Madison,35.0,36.0
Edinboro,Shepherd,28.0,35.0
Central Washington,Montana Tech,29.0,37.0
Baylor,Utah,13.0,20.0
Colorado,Nebraska,36.0,14.0
Boston College,Holy Cross,31.0,28.0
Central Connecticut,Stonehill,30.0,33.0
Penn State,Delaware,63.0,7.0
Coast Guard,Anna Maria College,93.0,24.0
Kansas State,Troy,42.0,13.0
Army,Delaware State,57.0,0.0
Southern Connecticut State,Assumption,29.0,42.0
Ohio State,Youngstown State,35.0,7.0
Rensselaer,Wilkes,38.0,14.0
Georgia,Ball State,45.0,3.0
Muhlenberg,Salisbury,29.0,17.0
Notre Dame College,WV Wesleyan,87.0,9.0
NC State,Notre Dame,24.0,45.0
Thomas More,UVA-Wise,37.0,0.0
Misericordia,King's College (PA),10.0,42.0
Albright,Delaware Valley,10.0,41.0
Dean College,Nichols,7.0,70.0
Otterbein,Muskingum,14.0,27.0
Georgetown,Sacred Heart,27.0,10.0
Greenville,Eureka College,14.0,23.0
Hartwick,Keystone,31.0,21.0
Ursinus,Kean,30.0,14.0
Gettysburg,Montclair State,21.0,32.0
St. John Fisher,Hilbert College,62.0,7.0
Dickinson,William Paterson,29.0,17.0
Buffalo State,Apprentice School,23.0,37.0
Post University,Lincoln (PA),32.0,48.0
Westminster,Sewanee Univ. of the South,14.0,32.0
Bethany (WV),Washington & Jefferson,7.0,42.0
Waynesburg,Grove City College,27.0,43.0
Southern Virginia,Bridgewater (VA),9.0,35.0
Ohio Wesleyan,UW-River Falls,10.0,37.0
DePauw,Anderson (IN),68.0,19.0
Hobart,Morrisville State,27.0,10.0
Clarion,Bloomsburg,7.0,21.0
Northern Michigan,Lake Erie College,21.0,24.0
Michigan Tech,Hillsdale,45.0,20.0
Truman State,South Dakota Mines,28.0,24.0
Wayne State (MI),Missouri S&T,31.0,24.0
Johnson C Smith,Walsh,9.0,14.0
Shaw,Virginia Union,13.0,26.0
Southwest Baptist,Black Hills State,33.0,39.0
Widener,FDU-Florham,30.0,20.0
University of Mary,Sioux Falls,17.0,36.0
Adrian,Defiance,17.0,34.0
Wheeling Jesuit,Frostburg State,16.0,20.0
Wooster,Olivet College,24.0,22.0
Georgia Tech,South Carolina State,48.0,13.0
Randolph-Macon,Catholic University,59.0,14.0
Hope,Loras College,42.0,28.0
Minnesota St-Moorhead,Minot State,56.0,14.0
Elizabeth City State,St. Augustine's,13.0,0.0
Butler,Taylor,41.0,13.0
Westminster PA,Thiel College,28.0,7.0
Presbyterian College,Virginia Lynchburg,48.0,17.0
Carnegie Mellon,St. Vincent,38.0,0.0
Utica,Moravian,35.0,20.0
Bluefield,Emory & Henry,14.0,37.0
Chowan,Delta State,18.0,42.0
Kenyon,Kalamazoo,16.0,48.0
McDaniel College,Rowan,28.0,49.0
Sul Ross State,Eastern New Mexico,12.0,51.0
Kentucky State,Tuskegee,10.0,36.0
Susquehanna,Brockport State (NY),6.0,5.0
Merchant Marine,Gallaudet,30.0,13.0
Lycoming,SUNY Cortland,7.0,62.0
Stevenson,Lebanon Valley,38.0,45.0
Hampden-Sydney,Brevard College,31.0,17.0
Allegheny,Geneva College,21.0,27.0
Dayton,Central State,62.0,24.0
Worcester State College,Union,0.0,63.0
Ohio Northern,Capital,40.0,7.0
Central Michigan,New Hampshire,45.0,42.0
Franklin,Aurora,30.0,45.0
Baldwin-Wallace,Wilmington (OH),61.0,25.0
Rhodes,Austin College,19.0,17.0
Bowling Green,Eastern Illinois,38.0,15.0
Chadron State,Augustana (SD),3.0,27.0
UW-Stout,Dickinson State,21.0,24.0
South Dakota,St. Thomas (MN),24.0,0.0
Wisconsin-La Crosse,Hardin-Simmons,21.0,28.0
Bethel (MN),Wartburg,2.0,16.0
Maryville TN,Centre,34.0,23.0
Millsaps,McMurry,2.0,53.0
Coe,Wisconsin-Eau Claire,44.0,14.0
Illinois Wesleyan,Central,13.0,38.0
Clark Atlanta,Fort Valley State,17.0,40.0
Winona State,Concordia-St. Paul,33.0,8.0
Grinnell,Ripon,12.0,31.0
Central Missouri State,Central Oklahoma,41.0,17.0
New Mexico Highlands,Western New Mexico,48.0,41.0
William Jewell College,Kentucky Wesleyan,34.0,41.0
Wheaton College (Ill),UW-Oshkosh,30.0,21.0
Carleton,Pomona-Pitzer,45.0,24.0
McKendree,West Florida,3.0,35.0
Virginia State,Tusculum,21.0,17.0
Knox College,Beloit College,31.0,14.0
Nebraska Wesleyan University,Mayville State,33.0,30.0
Martin Luther College,Macalester,27.0,56.0
Quincy,Madonna University (Mich.),89.0,0.0
Rockford,St. Scholastica,38.0,37.0
Oberlin,Concordia (IL),37.0,35.0
Illinois College,Lake Forest,6.0,37.0
Crown College,Simpson College,46.0,48.0
Wisconsin-Stevens Point,St. Norbert,31.0,28.0
Northwestern (MN),Concordia (WI),26.0,10.0
Monmouth (IL),Chicago,39.0,6.0
Cornell College (IA),Lawrence,31.0,7.0
UW-Whitewater,St. Johns (MN),56.0,28.0
Clemson,Charleston Southern,66.0,17.0
Western Carolina,Samford,30.0,7.0
Western State,University of Texas of the Permian Basin,35.0,27.0
Luther,St. Olaf College,21.0,52.0
Fitchburg State,Castleton State College,3.0,32.0
The Citadel,Campbell,7.0,56.0
Kentucky,Eastern Kentucky,28.0,17.0
BYU,Southern Utah,41.0,16.0
Toledo,Texas Southern,71.0,3.0
Northern Illinois,Southern Illinois,11.0,14.0
Navy,Wagner,24.0,0.0
Michigan,UNLV,35.0,7.0
Michigan State,Richmond,45.0,14.0
Ohio Dominican,Winston-Salem,26.0,14.0
St. Anselm,Tiffin,7.0,42.0
Tulane,Ole Miss,20.0,37.0
North Dakota State,Maine,44.0,7.0
UT San Antonio,Texas State,20.0,13.0
Iowa State,Iowa,13.0,20.0
UMass,Miami (OH),28.0,41.0
Miami,Texas A&M,48.0,33.0
Syracuse,Western Michigan,48.0,7.0
Northwestern,UTEP,38.0,7.0
Arkansas,Kent State,28.0,6.0
East Carolina,Marshall,13.0,31.0
Pacific (OR),George Fox University,9.0,14.0
Wyoming,Portland State,31.0,17.0
Eastern Oregon,Whitworth,28.0,42.0
Indiana (PA),East Stroudsburg,12.0,13.0
Edward Waters,Benedict College,0.0,34.0
Concordia (MN),Pacific Lutheran,26.0,21.0
Lewis & Clark,Willamette,38.0,7.0
Upper Iowa,St. Ambrose,45.0,26.0
San Diego,Colorado Mesa,21.0,28.0
Merrimack,Lehigh,12.0,14.0
Bethune-Cookman,Savannah State,31.0,6.0
San José State,Cal Poly,59.0,3.0
Northern Colorado,Incarnate Word,7.0,42.0
Western Illinois,Illinois State,18.0,34.0
North Dakota,Northern Arizona,37.0,22.0
Western Oregon,Lincoln University (CA),29.0,14.0
Northern Iowa,Weber State,17.0,34.0
Tennessee,Austin Peay,30.0,13.0
UMass Dartmouth,Curry,28.0,14.0
Washington,Tulsa,43.0,10.0
South Alabama,Southeastern Louisiana,35.0,17.0
North Carolina,Appalachian State,40.0,34.0
East Tennessee State,Carson-Newman,42.0,0.0
William & Mary,Wofford,23.0,6.0
Oklahoma,SMU,28.0,11.0
Fayetteville State,Lenoir-Rhyne,10.0,24.0
Robert Morris,St Francis (PA),31.0,21.0
Hampton,Norfolk State,23.0,31.0
Bryant,Long Island University,21.0,10.0
Bucknell,VMI,21.0,13.0
Gardner-Webb,Elon,34.0,27.0
Towson,Monmouth,23.0,42.0
Chattanooga,Kennesaw State,27.0,20.0
Villanova,Colgate,42.0,19.0
Saginaw Valley,Northwood (MI),31.0,8.0
West Virginia State,UNC Pembroke,37.0,35.0
Mercyhurst,Lock Haven,41.0,29.0
Albany State (GA),Valdosta State,16.0,21.0
LaGrange College,Berry College,3.0,70.0
Southwest Minnesota State,Bemidji State,14.0,34.0
Buffalo,Fordham,37.0,40.0
Akron,Morgan State,24.0,21.0
West Virginia,Duquesne,56.0,17.0
Slippery Rock,West Chester,49.0,24.0
Catawba,Livingstone,55.0,15.0
Johns Hopkins,Christopher Newport,20.0,14.0
Averett,Greensboro,34.0,7.0
Methodist,Guilford,21.0,39.0
Manchester,Alma College,0.0,68.0
Ferrum,NC Wesleyan,34.0,0.0
Lyon College,Belhaven College,15.0,48.0
Allen,Columbus State,49.0,0.0
Duke,Lafayette,42.0,7.0
Bluffton,Albion,20.0,42.0
Indiana Wesleyan,Valparaiso,24.0,22.0
Alabama State,Miles,17.0,21.0
Georgia Southern,UAB,49.0,35.0
Liberty,New Mexico State,33.0,17.0
Old Dominion,Louisiana,38.0,31.0
Florida Atlantic,Ohio,10.0,17.0
Bentley,New Haven,13.0,14.0
Florida International,North Texas,46.0,39.0
Pittsburgh,Cincinnati,21.0,27.0
Nevada,Idaho,6.0,33.0
Tarleton State,North Alabama,52.0,31.0
Alabama,Texas,24.0,34.0
Grand Valley State,Colorado State-Pueblo,57.0,49.0
Howard,Morehouse,65.0,19.0
Charleston (WV),Concord,54.0,14.0
South Dakota State,Montana State,20.0,16.0
Stephen F. Austin,Alcorn State,38.0,10.0
Arkansas State,Memphis,3.0,37.0
South Florida,Florida A&M,38.0,24.0
Rice,Houston,43.0,41.0
Boise State,UCF,16.0,18.0
Western Kentucky,Houston Christian,52.0,22.0
Missouri,Middle Tennessee,23.0,19.0
Louisiana Tech,Northwestern State,51.0,21.0
Coastal Carolina,Jacksonville State,30.0,16.0
Texas Tech,Oregon,30.0,38.0
Alabama A&M,Lane,51.0,13.0
North Carolina A&T,North Carolina Central,16.0,30.0
Tennessee State,Arkansas-Pine Bluff,24.0,14.0
UT Martin,Missouri State,38.0,31.0
Mercer,Morehead State,48.0,22.0
Buena Vista,Lakeland University,16.0,34.0
Newberry,North Greenville,14.0,24.0
Arkansas-Monticello,Southwestern Oklahoma,58.0,21.0
Southeast Missouri State,Lindenwood,45.0,7.0
Minnesota State,Wayne State (NE),31.0,14.0
Northern State,Minnesota-Duluth,21.0,41.0
Lincoln (MO),Missouri Western,14.0,68.0
Angelo State,Colorado Mines,21.0,31.0
Ashland,Ferris State,28.0,38.0
Ouachita Baptist,Northwestern Oklahoma State,66.0,0.0
Southeastern Oklahoma,Henderson State,28.0,38.0
Arkansas Tech,Southern Nazarene,31.0,38.0
Georgia State,Connecticut,35.0,14.0
Southern,Jackson State,14.0,27.0
Prairie View,Abilene Christian,16.0,45.0
Drake,Northwestern (IA),24.0,27.0
Central Arkansas,Texas College,70.0,2.0
Stetson,Webber International,38.0,28.0
Huntingdon,Birmingham-Southern,16.0,0.0
Trine,Rose-Hulman,28.0,30.0
Minnesota-Morris,Hamline,28.0,49.0
Denison,Linfield,14.0,28.0
Dubuque,Wisconsin-Platteville,19.0,35.0
Howard Payne,Southwestern Assemblies of God,42.0,10.0
Trinity (TX),Mary Hardin-Baylor,35.0,16.0
Carroll (WI),Wisconsin Lutheran,51.0,7.0
Rochester,Alfred State College,49.0,7.0
American International,Franklin Pierce,27.0,24.0
Eastern University,Alvernia University,30.0,23.0
Florida,McNeese,49.0,7.0
Minnesota,Eastern Michigan,25.0,6.0
LSU,Grambling,72.0,10.0
Washington State,Wisconsin,31.0,22.0
San Diego State,UCLA,10.0,35.0
Rutgers,Temple,36.0,7.0
Maryland,Charlotte,38.0,20.0
South Carolina,Furman,47.0,21.0
Mississippi State,Arizona,31.0,24.0
West Texas A&M,Adams State,28.0,7.0
New Mexico,Tennessee Tech,56.0,10.0
Sam Houston State,Air Force,3.0,13.0
TCU,Nicholls,41.0,6.0
Utah State,Idaho State,78.0,28.0
Louisiana Monroe,Lamar,24.0,14.0
Harding,Oklahoma Baptist,49.0,10.0
Midwestern State,Mississippi College,30.0,17.0
Southwestern University,Texas Lutheran,7.0,39.0
Texas A&M-Kingsville,West Georgia,20.0,17.0
Nebraska-Kearney,Northeastern State,31.0,17.0
East Texas Baptist,Hendrix College,38.0,37.0
Florida State,Southern Mississippi,66.0,13.0
Utah Tech,Montana,13.0,43.0
Oregon State,UC Davis,55.0,7.0
Fresno State,Eastern Washington,34.0,31.0
Arizona Christian,Fort Lewis,49.0,25.0
Sacramento State,Texas A&M-Commerce,34.0,6.0
California,Auburn,10.0,14.0
USC,Stanford,56.0,10.0
Arizona State,Oklahoma State,15.0,27.0
Hawai'i,Albany,31.0,20.0
Miami,Bethune-Cookman,48.0,7.0
Memphis,Navy,28.0,24.0
Maryland,Virginia,42.0,14.0
